id,pmid,test_ent_text,test_ent_label,test_ent_start,test_ent_end
23,33413787,Efficacy,ENTITY,0,8
23,33413787,Safety,ENTITY,13,19
23,33413787,Centella Asiatica,ENTITY,23,40
23,33413787,Wrinkles,ENTITY,54,62
23,33413787,Systematic Review,ENTITY,66,83
23,33413787,Published Data,ENTITY,87,101
23,33413787,Network Meta-Analysis,ENTITY,106,127
23,33413787,Centella asiatica,ENTITY,129,146
23,33413787,cosmetics,ENTITY,172,181
23,33413787,wrinkle,ENTITY,193,200
23,33413787,treatments,ENTITY,201,211
23,33413787,effectiveness,ENTITY,221,234
23,33413787,systematic review study,ENTITY,265,288
23,33413787,efficacy,ENTITY,314,322
23,33413787,safety,ENTITY,327,333
23,33413787,C. asiatica,ENTITY,337,348
23,33413787,reducing,ENTITY,353,361
23,33413787,facial wrinkles,ENTITY,362,377
23,33413787,PubMed,ENTITY,379,385
23,33413787,Excerpta Medica dataBASE,ENTITY,387,411
23,33413787,EMBASE,ENTITY,413,419
23,33413787,Cochrane Central Register,ENTITY,422,447
23,33413787,clinical trials,ENTITY,451,466
23,33413787,Allied,ENTITY,468,474
23,33413787,Complementary Medicine Database,ENTITY,479,510
23,33413787,Cumulative Index to Nursing,ENTITY,512,539
23,33413787,Allied Health Literature,ENTITY,544,568
23,33413787,CINAHL,ENTITY,570,576
23,33413787,Thai Library Integrated System,ENTITY,579,609
23,33413787,Thai university,ENTITY,615,630
23,33413787,database/journals,ENTITY,631,648
23,33413787,double-blinded randomised controlled trials,ENTITY,684,727
23,33413787,Asian,ENTITY,743,748
23,33413787,females,ENTITY,749,756
23,33413787,Endpoints,ENTITY,773,782
23,33413787,wrinkling,ENTITY,788,797
23,33413787,measured,ENTITY,798,806
23,33413787,visual score,ENTITY,810,822
23,33413787,image analysis,ENTITY,824,838
23,33413787,participant,ENTITY,844,855
23,33413787,satisfaction,ENTITY,856,868
23,33413787,placebo-controlled studies,ENTITY,874,900
23,33413787,C. asiatica,ENTITY,931,942
23,33413787,asiaticoside,ENTITY,946,958
23,33413787,periorbital skin,ENTITY,971,987
23,33413787,studies,ENTITY,993,1000
23,33413787,tretinoin,ENTITY,1009,1018
23,33413787,Pueraria mirifica,ENTITY,1022,1039
23,33413787,contralaterally,ENTITY,1040,1055
23,33413787,network,ENTITY,1063,1070
23,33413787,meta-analysis,ENTITY,1071,1084
23,33413787,C. asiatica,ENTITY,1085,1096
23,33413787,effective,ENTITY,1111,1120
23,33413787,P. mirifica,ENTITY,1126,1137
23,33413787,tretinoin,ENTITY,1161,1170
23,33413787,Asiaticoside,ENTITY,1172,1184
23,33413787,lipstick,ENTITY,1198,1206
23,33413787,reduced,ENTITY,1215,1222
23,33413787,lip,ENTITY,1223,1226
23,33413787,wrinkling,ENTITY,1227,1236
23,33413787,Skin hydration,ENTITY,1238,1252
23,33413787,C. asiatica,ENTITY,1276,1287
23,33413787,tretinoin,ENTITY,1296,1305
23,33413787,study,ENTITY,1311,1316
23,33413787,adverse events,ENTITY,1329,1343
23,33413787,C. asiatica,ENTITY,1348,1359
23,33413787,tretinoin,ENTITY,1371,1380
23,33413787,Cochrane risk,ENTITY,1382,1395
23,33413787,bias,ENTITY,1399,1403
23,33413787,low,ENTITY,1418,1421
23,33413787,reporting,ENTITY,1423,1432
23,33413787,weak,ENTITY,1437,1441
23,33413787,lack,ENTITY,1447,1451
23,33413787,C. asiatica,ENTITY,1455,1466
23,33413787,standardization,ENTITY,1467,1482
23,33413787,data,ENTITY,1531,1535
23,33413787,C. asiatica,ENTITY,1569,1580
23,33413787,improved,ENTITY,1581,1589
23,33413787,lip,ENTITY,1590,1593
23,33413787,periocular wrinkles,ENTITY,1598,1617
23,33413787,retinoids,ENTITY,1635,1644
23,33413787,long-term,ENTITY,1652,1661
23,33413787,safety,ENTITY,1662,1668
23,33413787,C. asiatica,ENTITY,1688,1699
23,33413787,standardized,ENTITY,1703,1715
24,32281154,Integration,ENTITY,0,11
24,32281154,mass spectral fingerprinting analysis,ENTITY,15,52
24,32281154,precursor ion,ENTITY,58,71
24,32281154,quantification,ENTITY,78,92
24,32281154,characterisation,ENTITY,101,117
24,32281154,botanical extracts,ENTITY,121,139
24,32281154,extracts,ENTITY,156,164
24,32281154,Centella asiatica,ENTITY,168,185
24,32281154,phytochemical,ENTITY,202,215
24,32281154,composition,ENTITY,216,227
24,32281154,plant material,ENTITY,231,245
24,32281154,bioactivity,ENTITY,258,269
24,32281154,potential,ENTITY,274,283
24,32281154,health benefits,ENTITY,284,299
24,32281154,outcomes,ENTITY,315,323
24,32281154,reproducibility,ENTITY,328,343
24,32281154,laboratory studies,ENTITY,347,365
24,32281154,clinical trials,ENTITY,370,385
25,32668965,Inhibition,ENTITY,0,10
25,32668965,Inflammatory,ENTITY,14,26
25,32668965,Responses,ENTITY,27,36
25,32668965,Centella asiatica,ENTITY,40,57
25,32668965,Suppression,ENTITY,62,73
25,32668965,IRAK1-TAK1,ENTITY,77,87
25,32668965,Mouse,ENTITY,91,96
25,32668965,Macrophages,ENTITY,97,108
25,32668965,Centella asiatica,ENTITY,110,127
25,32668965,C. asiatica,ENTITY,139,150
25,32668965,treated,ENTITY,168,175
25,32668965,inflammation-related diseases,ENTITY,180,209
25,32668965,China,ENTITY,213,218
25,32668965,years,ENTITY,236,241
25,32668965,C. asiatica,ENTITY,249,260
25,32668965,effects,ENTITY,277,284
25,32668965,traditional medicine,ENTITY,288,308
25,32668965,mechanism,ENTITY,314,323
25,32668965,C. asiatica,ENTITY,327,338
25,32668965,suppressing,ENTITY,339,350
25,32668965,inflammation,ENTITY,351,363
25,32668965,investigated,ENTITY,388,400
25,32668965,study,ENTITY,418,423
25,32668965,anti-inflammatory mechanism,ENTITY,452,479
25,32668965,methanol,ENTITY,483,491
25,32668965,C. asiatica,ENTITY,506,517
25,32668965,MCA,ENTITY,519,522
25,32668965,molecular level,ENTITY,531,546
25,32668965,murine,ENTITY,550,556
25,32668965,macrophages,ENTITY,557,568
25,32668965,Levels,ENTITY,570,576
25,32668965,inflammation-related mediators,ENTITY,580,610
25,32668965,treatment,ENTITY,630,639
25,32668965,MCA,ENTITY,643,646
25,32668965,MCA,ENTITY,648,651
25,32668965,suppressed,ENTITY,666,676
25,32668965,nitric oxide,ENTITY,677,689
25,32668965,production,ENTITY,690,700
25,32668965,iNOS,ENTITY,705,709
25,32668965,expression,ENTITY,710,720
25,32668965,RAW 264.7 macrophages,ENTITY,724,745
25,32668965,Prostaglandin E2,ENTITY,747,763
25,32668965,production,ENTITY,764,774
25,32668965,MCA,ENTITY,793,796
25,32668965,downregulation,ENTITY,805,819
25,32668965,cyclooxygenase-2,ENTITY,823,839
25,32668965,MCA,ENTITY,841,844
25,32668965,treatment,ENTITY,845,854
25,32668965,reduced,ENTITY,860,867
25,32668965,pro-inflammatory,ENTITY,868,884
25,32668965,interleukin (IL)-6,ENTITY,931,949
25,32668965,LPS/D-GalN-induced acute hepatitis,ENTITY,958,992
25,32668965,mouse,ENTITY,996,1001
25,32668965,MCA,ENTITY,1020,1023
25,32668965,treatment,ENTITY,1024,1033
25,32668965,MCA,ENTITY,1048,1051
25,32668965,decreased,ENTITY,1052,1061
25,32668965,phosphorylation,ENTITY,1066,1081
25,32668965,inhibitory,ENTITY,1085,1095
25,32668965,Ser32/36,ENTITY,1182,1190
25,32668965,blocked,ENTITY,1203,1210
25,32668965,degradation,ENTITY,1252,1263
25,32668965,TXY,ENTITY,1265,1268
25,32668965,phosphorylation,ENTITY,1275,1290
25,32668965,activation loops,ENTITY,1298,1314
25,32668965,mitogen-activated protein kinases,ENTITY,1318,1351
25,32668965,MAPKs,ENTITY,1353,1358
25,32668965,suppressed,ENTITY,1369,1379
25,32668965,MCA,ENTITY,1383,1386
25,32668965,treatment,ENTITY,1387,1396
25,32668965,investigation,ENTITY,1406,1419
25,32668965,MCA,ENTITY,1434,1437
25,32668965,inhibited,ENTITY,1438,1447
25,32668965,transforming growth factor-[Formula,ENTITY,1448,1483
25,32668965,kinase 1,ENTITY,1505,1513
25,32668965,TAK1,ENTITY,1515,1519
25,32668965,phosphorylation,ENTITY,1521,1536
25,32668965,IL-1 receptor-associated kinase,ENTITY,1541,1572
25,32668965,IRAK1,ENTITY,1574,1579
25,32668965,degradation,ENTITY,1581,1592
